id,customer_id,ordered_time,served_time,completed_time,amount_paid,rcoins_used,status
45,364,'2021-06-02 14:49:00','2021-06-02 15:02:00','2021-06-02 16:02:00',470,230,'order-completed'
46,859,'2021-06-02 15:06:00','2021-06-02 15:19:00','2021-06-02 16:17:00',146,373,'order-completed'
47,983,'2021-06-02 15:24:00','2021-06-02 15:34:00','2021-06-02 16:32:00',32,727,'order-completed'
48,958,'2021-06-02 16:44:00','2021-06-02 16:59:00','2021-06-02 17:52:00',1436,228,'order-completed'
49,200,'2021-06-02 17:02:00','2021-06-02 17:17:00','2021-06-02 18:17:00',247,802,'order-completed'
50,828,'2021-06-02 17:19:00','2021-06-02 17:31:00','2021-06-02 18:24:00',50,478,'order-completed'
51,459,'2021-06-02 18:39:00','2021-06-02 18:50:00','2021-06-02 19:47:00',489,732,'order-completed'
52,27,'2021-06-02 18:54:00','2021-06-02 19:08:00','2021-06-02 20:00:00',553,196,'order-completed'
53,574,'2021-06-02 19:13:00','2021-06-02 19:25:00','2021-06-02 20:12:00',312,1207,'order-completed'
54,740,'2021-06-02 20:33:00','2021-06-02 20:44:00','2021-06-02 21:43:00',44,1090,'order-completed'
55,647,'2021-06-02 20:49:00','2021-06-02 21:04:00','2021-06-02 21:50:00',1227,79,'order-completed'
56,565,'2021-06-02 21:07:00','2021-06-02 21:21:00','2021-06-02 22:10:00',506,235,'order-completed'
57,749,'2021-06-02 22:27:00','2021-06-02 22:40:00','2021-06-02 23:36:00',255,361,'order-completed'
58,587,'2021-06-02 22:44:00','2021-06-02 22:54:00','2021-06-02 23:46:00',769,855,'order-completed'
59,678,'2021-06-02 23:01:00','2021-06-02 23:14:00','2021-06-03 00:02:00',584,469,'order-completed'
60,7,'2021-06-03 00:21:00','2021-06-03 00:36:00','2021-06-03 01:28:00',473,139,'order-completed'
61,50,'2021-06-03 00:40:00','2021-06-03 00:50:00','2021-06-03 01:38:00',114,296,'order-completed'
62,159,'2021-06-03 00:58:00','2021-06-03 01:09:00','2021-06-03 01:59:00',839,557,'order-completed'
63,526,'2021-06-03 02:18:00','2021-06-03 02:28:00','2021-06-03 03:15:00',465,164,'order-completed'
64,187,'2021-06-03 02:34:00','2021-06-03 02:49:00','2021-06-03 03:41:00',1204,1265,'order-completed'
65,191,'2021-06-03 02:51:00','2021-06-03 03:05:00','2021-06-03 03:55:00',77,490,'order-completed'
66,635,'2021-06-03 04:11:00','2021-06-03 04:24:00','2021-06-03 05:09:00',154,626,'order-completed'
67,108,'2021-06-03 04:27:00','2021-06-03 04:42:00','2021-06-03 05:27:00',632,703,'order-completed'
68,160,'2021-06-03 04:44:00','2021-06-03 04:56:00','2021-06-03 05:51:00',484,233,'order-completed'
69,977,'2021-06-03 06:04:00','2021-06-03 06:14:00','2021-06-03 07:13:00',853,442,'order-completed'
70,298,'2021-06-03 06:23:00','2021-06-03 06:33:00','2021-06-03 07:23:00',847,243,'order-completed'
71,49,'2021-06-03 06:39:00','2021-06-03 06:54:00','2021-06-03 07:45:00',1518,261,'order-completed'
72,535,'2021-06-03 07:59:00','2021-06-03 08:11:00','2021-06-03 09:06:00',760,701,'order-completed'
73,465,'2021-06-03 08:16:00','2021-06-03 08:27:00','2021-06-03 09:25:00',1600,263,'order-completed'
74,775,'2021-06-03 08:31:00','2021-06-03 08:45:00','2021-06-03 09:41:00',40,1019,'order-completed'
75,867,'2021-06-03 09:51:00','2021-06-03 10:06:00','2021-06-03 11:05:00',1143,355,'order-completed'
76,864,'2021-06-03 10:10:00','2021-06-03 10:21:00','2021-06-03 11:19:00',758,715,'order-completed'
77,74,'2021-06-03 10:26:00','2021-06-03 10:40:00','2021-06-03 11:35:00',216,542,'order-completed'
78,702,'2021-06-03 11:46:00','2021-06-03 12:00:00','2021-06-03 12:52:00',1276,731,'order-completed'
79,625,'2021-06-03 12:03:00','2021-06-03 12:18:00','2021-06-03 13:04:00',397,791,'order-completed'
80,791,'2021-06-03 12:18:00','2021-06-03 12:33:00','2021-06-03 13:24:00',330,31,'order-completed'
81,21,'2021-06-03 13:38:00','2021-06-03 13:49:00','2021-06-03 14:43:00',900,96,'order-completed'
82,521,'2021-06-03 13:57:00','2021-06-03 14:10:00','2021-06-03 14:58:00',311,91,'order-completed'
83,641,'2021-06-03 14:17:00','2021-06-03 14:27:00','2021-06-03 15:23:00',814,206,'order-completed'
84,387,'2021-06-03 15:37:00','2021-06-03 15:51:00','2021-06-03 16:47:00',74,913,'order-completed'
85,421,'2021-06-03 15:56:00','2021-06-03 16:07:00','2021-06-03 17:07:00',861,2,'order-completed'
86,412,'2021-06-03 16:12:00','2021-06-03 16:24:00','2021-06-03 17:20:00',1291,434,'order-completed'
87,308,'2021-06-03 17:32:00','2021-06-03 17:43:00','2021-06-03 18:36:00',1370,105,'order-completed'
88,286,'2021-06-03 17:52:00','2021-06-03 18:04:00','2021-06-03 18:59:00',43,841,'order-completed'
89,59,'2021-06-03 18:12:00','2021-06-03 18:23:00','2021-06-03 19:22:00',624,748,'order-completed'
90,826,'2021-06-03 19:32:00','2021-06-03 19:42:00','2021-06-03 20:41:00',443,727,'order-completed'
91,886,'2021-06-03 19:49:00','2021-06-03 20:03:00','2021-06-03 21:02:00',169,836,'order-completed'
92,381,'2021-06-03 20:06:00','2021-06-03 20:17:00','2021-06-03 21:03:00',763,221,'order-completed'
93,522,'2021-06-03 21:26:00','2021-06-03 21:40:00','2021-06-03 22:28:00',1252,120,'order-completed'
94,143,'2021-06-03 21:46:00','2021-06-03 22:00:00','2021-06-03 22:47:00',177,629,'order-completed'
95,452,'2021-06-03 22:02:00','2021-06-03 22:17:00','2021-06-03 23:04:00',689,239,'order-completed'
96,959,'2021-06-03 23:22:00','2021-06-03 23:37:00','2021-06-04 00:30:00',1675,324,'order-completed'
97,292,'2021-06-03 23:37:00','2021-06-03 23:51:00','2021-06-04 00:47:00',876,1506,'order-completed'
98,108,'2021-06-03 23:53:00','2021-06-04 00:05:00','2021-06-04 00:50:00',300,1073,'order-completed'
99,56,'2021-06-04 01:13:00','2021-06-04 01:25:00','2021-06-04 02:15:00',721,753,'order-completed'
100,730,'2021-06-04 01:28:00','2021-06-04 01:39:00','2021-06-04 02:38:00',5,1267,'order-completed'
101,41,'2021-06-04 01:46:00','2021-06-04 01:59:00','2021-06-04 02:56:00',39,490,'order-completed'
102,762,'2021-06-04 03:06:00','2021-06-04 03:19:00','2021-06-04 04:08:00',645,508,'order-completed'
103,240,'2021-06-04 03:23:00','2021-06-04 03:37:00','2021-06-04 04:36:00',674,196,'order-completed'
104,160,'2021-06-04 03:39:00','2021-06-04 03:52:00','2021-06-04 04:39:00',702,184,'order-completed'
105,911,'2021-06-04 04:59:00','2021-06-04 05:14:00','2021-06-04 06:13:00',414,378,'order-completed'
106,395,'2021-06-04 05:19:00','2021-06-04 05:30:00','2021-06-04 06:28:00',623,611,'order-completed'
107,639,'2021-06-04 05:35:00','2021-06-04 05:50:00','2021-06-04 06:46:00',566,360,'order-completed'
108,763,'2021-06-04 06:55:00','2021-06-04 07:07:00','2021-06-04 08:01:00',78,1361,'order-completed'
109,42,'2021-06-04 07:12:00','2021-06-04 07:22:00','2021-06-04 08:07:00',837,252,'order-completed'
110,481,'2021-06-04 07:30:00','2021-06-04 07:42:00','2021-06-04 08:42:00',189,575,'order-completed'
111,454,'2021-06-04 08:50:00','2021-06-04 09:00:00','2021-06-04 09:51:00',20,556,'order-completed'
112,932,'2021-06-04 09:09:00','2021-06-04 09:19:00','2021-06-04 10:13:00',268,927,'order-completed'
113,710,'2021-06-04 09:28:00','2021-06-04 09:42:00','2021-06-04 10:36:00',190,1446,'order-completed'
114,167,'2021-06-04 10:48:00','2021-06-04 11:01:00','2021-06-04 11:55:00',512,508,'order-completed'
115,92,'2021-06-04 11:06:00','2021-06-04 11:16:00','2021-06-04 12:13:00',664,313,'order-completed'
116,694,'2021-06-04 11:22:00','2021-06-04 11:37:00','2021-06-04 12:31:00',1142,413,'order-completed'
117,826,'2021-06-04 12:42:00','2021-06-04 12:56:00','2021-06-04 13:54:00',478,375,'order-completed'
118,701,'2021-06-04 12:58:00','2021-06-04 13:12:00','2021-06-04 13:57:00',53,766,'order-completed'
119,127,'2021-06-04 13:15:00','2021-06-04 13:28:00','2021-06-04 14:17:00',1591,62,'order-completed'
120,927,'2021-06-04 14:35:00','2021-06-04 14:45:00','2021-06-04 15:39:00',942,144,'order-completed'
121,566,'2021-06-04 14:50:00','2021-06-04 15:01:00','2021-06-04 15:54:00',438,1044,'order-completed'
122,399,'2021-06-04 15:05:00','2021-06-04 15:16:00','2021-06-04 16:12:00',317,1567,'order-completed'
123,165,'2021-06-04 16:25:00','2021-06-04 16:35:00','2021-06-04 17:31:00',142,621,'order-completed'
124,921,'2021-06-04 16:40:00','2021-06-04 16:54:00','2021-06-04 17:44:00',760,848,'order-completed'
125,595,'2021-06-04 16:55:00','2021-06-04 17:06:00','2021-06-04 17:57:00',735,321,'order-completed'
126,123,'2021-06-04 18:15:00','2021-06-04 18:29:00','2021-06-04 19:17:00',1082,78,'order-completed'
127,536,'2021-06-04 18:31:00','2021-06-04 18:44:00','2021-06-04 19:30:00',551,953,'order-completed'
128,926,'2021-06-04 18:50:00','2021-06-04 19:04:00','2021-06-04 20:02:00',510,270,'order-completed'
129,89,'2021-06-04 20:10:00','2021-06-04 20:23:00','2021-06-04 21:21:00',59,1390,'order-completed'
130,329,'2021-06-04 20:27:00','2021-06-04 20:39:00','2021-06-04 21:36:00',258,1591,'order-completed'
131,883,'2021-06-04 20:45:00','2021-06-04 20:59:00','2021-06-04 21:54:00',257,1644,'order-completed'
132,629,'2021-06-04 22:05:00','2021-06-04 22:15:00','2021-06-04 23:06:00',775,235,'order-completed'
133,390,'2021-06-04 22:21:00','2021-06-04 22:31:00','2021-06-04 23:31:00',60,1032,'order-completed'
134,611,'2021-06-04 22:38:00','2021-06-04 22:51:00','2021-06-04 23:38:00',335,823,'order-completed'
135,358,'2021-06-04 23:58:00','2021-06-05 00:12:00','2021-06-05 01:11:00',144,638,'order-completed'
136,747,'2021-06-05 00:16:00','2021-06-05 00:30:00','2021-06-05 01:18:00',347,450,'order-completed'
137,835,'2021-06-05 00:32:00','2021-06-05 00:44:00','2021-06-05 01:41:00',1149,289,'order-completed'
138,952,'2021-06-05 01:52:00','2021-06-05 02:07:00','2021-06-05 02:53:00',375,755,'order-completed'
139,726,'2021-06-05 02:08:00','2021-06-05 02:19:00','2021-06-05 03:12:00',42,941,'order-completed'
140,282,'2021-06-05 02:25:00','2021-06-05 02:38:00','2021-06-05 03:25:00',506,1041,'order-completed'
141,548,'2021-06-05 03:45:00','2021-06-05 03:57:00','2021-06-05 04:50:00',1245,98,'order-completed'
142,83,'2021-06-05 04:04:00','2021-06-05 04:14:00','2021-06-05 05:07:00',874,728,'order-completed'
143,44,'2021-06-05 04:19:00','2021-06-05 04:29:00','2021-06-05 05:22:00',1650,29,'order-completed'
144,24,'2021-06-05 05:39:00','2021-06-05 05:54:00','2021-06-05 06:51:00',429,672,'order-completed'
145,775,'2021-06-05 05:58:00','2021-06-05 06:10:00','2021-06-05 07:08:00',587,428,'order-completed'
146,259,'2021-06-05 06:15:00','2021-06-05 06:26:00','2021-06-05 07:17:00',961,447,'order-completed'
147,185,'2021-06-05 07:35:00','2021-06-05 07:49:00','2021-06-05 08:40:00',184,950,'order-completed'
148,51,'2021-06-05 07:51:00','2021-06-05 08:03:00','2021-06-05 08:54:00',476,85,'order-completed'
149,958,'2021-06-05 08:11:00','2021-06-05 08:26:00','2021-06-05 09:12:00',310,790,'order-completed'
150,80,'2021-06-05 09:31:00','2021-06-05 09:44:00','2021-06-05 10:36:00',339,1003,'order-completed'
151,647,'2021-06-05 09:46:00','2021-06-05 09:59:00','2021-06-05 10:54:00',121,726,'order-completed'
152,473,'2021-06-05 10:03:00','2021-06-05 10:13:00','2021-06-05 11:12:00',446,402,'order-completed'
153,312,'2021-06-05 11:23:00','2021-06-05 11:35:00','2021-06-05 12:31:00',621,526,'order-completed'
154,851,'2021-06-05 11:43:00','2021-06-05 11:57:00','2021-06-05 12:53:00',658,496,'order-completed'
155,401,'2021-06-05 11:58:00','2021-06-05 12:08:00','2021-06-05 12:53:00',350,837,'order-completed'
156,929,'2021-06-05 13:18:00','2021-06-05 13:31:00','2021-06-05 14:31:00',216,495,'order-completed'
157,868,'2021-06-05 13:37:00','2021-06-05 13:51:00','2021-06-05 14:43:00',894,535,'order-completed'
158,413,'2021-06-05 13:56:00','2021-06-05 14:11:00','2021-06-05 14:57:00',200,475,'order-completed'
159,499,'2021-06-05 15:16:00','2021-06-05 15:26:00','2021-06-05 16:15:00',529,407,'order-completed'
160,439,'2021-06-05 15:33:00','2021-06-05 15:43:00','2021-06-05 16:37:00',809,478,'order-completed'
161,789,'2021-06-05 15:51:00','2021-06-05 16:02:00','2021-06-05 16:48:00',346,1333,'order-completed'
162,240,'2021-06-05 17:11:00','2021-06-05 17:21:00','2021-06-05 18:21:00',181,757,'order-completed'
163,484,'2021-06-05 17:26:00','2021-06-05 17:38:00','2021-06-05 18:27:00',1015,435,'order-completed'
164,268,'2021-06-05 17:44:00','2021-06-05 17:57:00','2021-06-05 18:42:00',205,1577,'order-completed'
165,461,'2021-06-05 19:04:00','2021-06-05 19:16:00','2021-06-05 20:03:00',1061,219,'order-completed'
166,532,'2021-06-05 19:23:00','2021-06-05 19:33:00','2021-06-05 20:25:00',282,1034,'order-completed'
167,850,'2021-06-05 19:39:00','2021-06-05 19:49:00','2021-06-05 20:46:00',651,318,'order-completed'
168,351,'2021-06-05 20:59:00','2021-06-05 21:14:00','2021-06-05 22:01:00',950,140,'order-completed'
169,64,'2021-06-05 21:18:00','2021-06-05 21:32:00','2021-06-05 22:22:00',294,349,'order-completed'
170,630,'2021-06-05 21:36:00','2021-06-05 21:50:00','2021-06-05 22:44:00',55,1382,'order-completed'
171,666,'2021-06-05 22:56:00','2021-06-05 23:08:00','2021-06-05 23:54:00',590,297,'order-completed'
172,494,'2021-06-05 23:15:00','2021-06-05 23:27:00','2021-06-06 00:20:00',107,914,'order-completed'
173,721,'2021-06-05 23:32:00','2021-06-05 23:45:00','2021-06-06 00:36:00',494,333,'order-completed'
174,327,'2021-06-06 00:52:00','2021-06-06 01:05:00','2021-06-06 02:02:00',1112,45,'order-completed'
175,653,'2021-06-06 01:09:00','2021-06-06 01:23:00','2021-06-06 02:08:00',211,489,'order-completed'
176,838,'2021-06-06 01:29:00','2021-06-06 01:41:00','2021-06-06 02:37:00',149,1193,'order-completed'
177,294,'2021-06-06 02:49:00','2021-06-06 02:59:00','2021-06-06 03:45:00',720,470,'order-completed'
178,140,'2021-06-06 03:08:00','2021-06-06 03:22:00','2021-06-06 04:17:00',719,55,'order-completed'
179,757,'2021-06-06 03:23:00','2021-06-06 03:38:00','2021-06-06 04:29:00',128,1232,'order-completed'
180,455,'2021-06-06 04:43:00','2021-06-06 04:53:00','2021-06-06 05:43:00',469,583,'order-completed'
181,885,'2021-06-06 04:58:00','2021-06-06 05:09:00','2021-06-06 05:55:00',563,259,'order-completed'
182,437,'2021-06-06 05:14:00','2021-06-06 05:24:00','2021-06-06 06:13:00',416,179,'order-completed'
183,491,'2021-06-06 06:34:00','2021-06-06 06:47:00','2021-06-06 07:42:00',193,675,'order-completed'
184,422,'2021-06-06 06:54:00','2021-06-06 07:07:00','2021-06-06 07:52:00',512,463,'order-completed'
185,541,'2021-06-06 07:13:00','2021-06-06 07:28:00','2021-06-06 08:13:00',431,952,'order-completed'
186,262,'2021-06-06 08:33:00','2021-06-06 08:44:00','2021-06-06 09:41:00',730,558,'order-completed'
187,412,'2021-06-06 08:48:00','2021-06-06 08:58:00','2021-06-06 09:49:00',40,517,'order-completed'
188,253,'2021-06-06 09:07:00','2021-06-06 09:22:00','2021-06-06 10:07:00',222,574,'order-completed'
189,411,'2021-06-06 10:27:00','2021-06-06 10:41:00','2021-06-06 11:36:00',22,481,'order-completed'
190,85,'2021-06-06 10:45:00','2021-06-06 11:00:00','2021-06-06 11:46:00',377,92,'order-completed'
191,749,'2021-06-06 11:00:00','2021-06-06 11:14:00','2021-06-06 12:01:00',1596,18,'order-completed'
192,882,'2021-06-06 12:20:00','2021-06-06 12:34:00','2021-06-06 13:24:00',895,85,'order-completed'
193,296,'2021-06-06 12:37:00','2021-06-06 12:52:00','2021-06-06 13:48:00',573,329,'order-completed'
194,548,'2021-06-06 12:56:00','2021-06-06 13:10:00','2021-06-06 14:00:00',1404,74,'order-completed'
195,565,'2021-06-06 14:16:00','2021-06-06 14:30:00','2021-06-06 15:25:00',118,688,'order-completed'
196,946,'2021-06-06 14:35:00','2021-06-06 14:46:00','2021-06-06 15:43:00',169,526,'order-completed'
197,596,'2021-06-06 14:50:00','2021-06-06 15:00:00','2021-06-06 15:59:00',416,250,'order-completed'
198,14,'2021-06-06 16:10:00','2021-06-06 16:21:00','2021-06-06 17:07:00',44,895,'order-completed'
199,254,'2021-06-06 16:27:00','2021-06-06 16:42:00','2021-06-06 17:32:00',647,95,'order-completed'
200,16,'2021-06-06 16:46:00','2021-06-06 16:57:00','2021-06-06 17:52:00',724,120,'order-completed'
201,412,'2021-06-06 18:06:00','2021-06-06 18:18:00','2021-06-06 19:15:00',799,865,'order-completed'
202,258,'2021-06-06 18:22:00','2021-06-06 18:36:00','2021-06-06 19:26:00',318,1154,'order-completed'
203,624,'2021-06-06 18:38:00','2021-06-06 18:52:00','2021-06-06 19:41:00',357,323,'order-completed'
204,930,'2021-06-06 19:58:00','2021-06-06 20:11:00','2021-06-06 21:10:00',450,150,'order-completed'
205,908,'2021-06-06 20:14:00','2021-06-06 20:24:00','2021-06-06 21:13:00',85,1126,'order-completed'
206,360,'2021-06-06 20:34:00','2021-06-06 20:49:00','2021-06-06 21:36:00',450,395,'order-completed'
207,921,'2021-06-06 21:54:00','2021-06-06 22:04:00','2021-06-06 22:54:00',1312,54,'order-completed'
208,506,'2021-06-06 22:10:00','2021-06-06 22:22:00','2021-06-06 23:12:00',28,1136,'order-completed'
209,368,'2021-06-06 22:30:00','2021-06-06 22:43:00','2021-06-06 23:29:00',236,219,'order-completed'
210,76,'2021-06-06 23:50:00','2021-06-07 00:04:00','2021-06-07 01:02:00',481,579,'order-completed'
211,572,'2021-06-07 00:10:00','2021-06-07 00:20:00','2021-06-07 01:19:00',159,450,'order-completed'
212,845,'2021-06-07 00:27:00','2021-06-07 00:37:00','2021-06-07 01:23:00',234,1446,'order-completed'
213,101,'2021-06-07 01:47:00','2021-06-07 01:57:00','2021-06-07 02:53:00',1249,401,'order-completed'
214,472,'2021-06-07 02:03:00','2021-06-07 02:13:00','2021-06-07 03:07:00',718,451,'order-completed'
215,783,'2021-06-07 02:21:00','2021-06-07 02:33:00','2021-06-07 03:21:00',1067,392,'order-completed'
216,911,'2021-06-07 03:41:00','2021-06-07 03:53:00','2021-06-07 04:38:00',321,730,'order-completed'
217,271,'2021-06-07 03:56:00','2021-06-07 04:08:00','2021-06-07 04:59:00',466,346,'order-completed'
218,20,'2021-06-07 04:15:00','2021-06-07 04:25:00','2021-06-07 05:18:00',721,459,'order-completed'
219,961,'2021-06-07 05:35:00','2021-06-07 05:50:00','2021-06-07 06:49:00',442,28,'order-completed'
220,821,'2021-06-07 05:52:00','2021-06-07 06:04:00','2021-06-07 06:56:00',404,292,'order-completed'
221,407,'2021-06-07 06:09:00','2021-06-07 06:23:00','2021-06-07 07:23:00',826,409,'order-completed'
222,752,'2021-06-07 07:29:00','2021-06-07 07:41:00','2021-06-07 08:35:00',807,848,'order-completed'
223,645,'2021-06-07 07:46:00','2021-06-07 07:58:00','2021-06-07 08:49:00',188,516,'order-completed'
224,24,'2021-06-07 08:03:00','2021-06-07 08:16:00','2021-06-07 09:13:00',698,57,'order-completed'
225,887,'2021-06-07 09:23:00','2021-06-07 09:34:00','2021-06-07 10:20:00',578,143,'order-completed'
226,570,'2021-06-07 09:42:00','2021-06-07 09:54:00','2021-06-07 10:44:00',1851,369,'order-completed'
227,972,'2021-06-07 09:58:00','2021-06-07 10:09:00','2021-06-07 11:00:00',405,686,'order-completed'
228,428,'2021-06-07 11:18:00','2021-06-07 11:33:00','2021-06-07 12:31:00',35,388,'order-completed'
229,231,'2021-06-07 11:36:00','2021-06-07 11:47:00','2021-06-07 12:34:00',821,119,'order-completed'
230,947,'2021-06-07 11:52:00','2021-06-07 12:06:00','2021-06-07 12:52:00',1183,82,'order-completed'
231,959,'2021-06-07 13:12:00','2021-06-07 13:24:00','2021-06-07 14:24:00',404,417,'order-completed'
232,188,'2021-06-07 13:28:00','2021-06-07 13:43:00','2021-06-07 14:43:00',125,956,'order-completed'
233,423,'2021-06-07 13:46:00','2021-06-07 13:56:00','2021-06-07 14:49:00',471,706,'order-completed'
234,642,'2021-06-07 15:06:00','2021-06-07 15:21:00','2021-06-07 16:19:00',96,632,'order-completed'
235,442,'2021-06-07 15:22:00','2021-06-07 15:35:00','2021-06-07 16:24:00',49,818,'order-completed'
236,66,'2021-06-07 15:42:00','2021-06-07 15:53:00','2021-06-07 16:52:00',277,1123,'order-completed'
237,6,'2021-06-07 17:02:00','2021-06-07 17:12:00','2021-06-07 18:07:00',804,158,'order-completed'
238,544,'2021-06-07 17:18:00','2021-06-07 17:29:00','2021-06-07 18:29:00',696,36,'order-completed'
239,101,'2021-06-07 17:38:00','2021-06-07 17:52:00','2021-06-07 18:42:00',1485,198,'order-completed'
240,588,'2021-06-07 18:58:00','2021-06-07 19:10:00','2021-06-07 19:56:00',910,181,'order-completed'
241,152,'2021-06-07 19:14:00','2021-06-07 19:28:00','2021-06-07 20:18:00',34,1227,'order-completed'
242,579,'2021-06-07 19:34:00','2021-06-07 19:46:00','2021-06-07 20:44:00',25,307,'order-completed'
243,734,'2021-06-07 20:54:00','2021-06-07 21:07:00','2021-06-07 22:04:00',166,997,'order-completed'
244,136,'2021-06-07 21:14:00','2021-06-07 21:25:00','2021-06-07 22:11:00',1123,791,'order-completed'
245,822,'2021-06-07 21:30:00','2021-06-07 21:41:00','2021-06-07 22:39:00',218,651,'order-completed'
246,491,'2021-06-07 22:50:00','2021-06-07 23:05:00','2021-06-08 00:03:00',550,15,'order-completed'
247,79,'2021-06-07 23:10:00','2021-06-07 23:23:00','2021-06-08 00:23:00',178,798,'order-completed'
248,366,'2021-06-07 23:30:00','2021-06-07 23:45:00','2021-06-08 00:35:00',1075,342,'order-completed'
249,791,'2021-06-08 00:50:00','2021-06-08 01:00:00','2021-06-08 01:48:00',601,44,'order-completed'
250,550,'2021-06-08 01:05:00','2021-06-08 01:20:00','2021-06-08 02:13:00',98,1001,'order-completed'
